nombre_entidad,sigla_entidad,institucion_madre,institucion_madre_rec,nombre_unidad,tipo_unidad,tipo_unidad_rec,tipo_unidad_2,tipo_unidad_2_rec,proposito1,proposito1_rec,proposito2,proposito2_rec,proposito3,proposito3_rec,proposito4,proposito4_rec,sitio_web_unidad,contacto_unidad,cargo_contacto_unidad,mail_contacto_unidad,telefono_contacto_unidad,direccion_unidad,ciudad_unidad,ciudad_unidad_rec,region_unidad,region_unidad_rec,cantidad_capacidades,fuentes
"Departamento de Ingeniería Hidráulica y Ambiental, Pontificia Universidad Católica de Chile",DIHA,Pontificia Universidad Católica de Chile,67,Laboratorio de Hidráulica,Laboratorio,2,--,#N/A,Monitoreo,1,Análisis,2,Experimentación,10,Simulación,4,http://www.ing.uc.cl/hidraulica-y-ambiental/instalaciones/laboratorio-hidraulica,Gustavo Jeria ,Jefe de Proyecto y Gestión,gajeria@ing.puc.cl,+56 2 2354 4295,Avda. Vicuña Mackenna 4860,Santiago,1,Región Metropolitana,14,8,1
"Departamento de Ingeniería Hidráulica y Ambiental, Pontificia Universidad Católica de Chile",DIHA,Pontificia Universidad Católica de Chile,67,Laboratorio de Modelos Hidráulicos,Laboratorio,2,--,#N/A,Modelación física,9,--,#N/A,--,#N/A,--,#N/A,http://www.ing.uc.cl/hidraulica-y-ambiental/instalaciones/laboratorio-de-fluidos,--,--,--,--,Avda. Vicuña Mackenna 4860,Santiago,1,Región Metropolitana,14,2,1
"Departamento de Ingeniería Hidráulica y Ambiental, Pontificia Universidad Católica de Chile",DIHA,Pontificia Universidad Católica de Chile,67,Laboratorio de Evaluación y Control de la Calidad del Agua,Estación,5,Laboratorio,1,Monitoreo,1,Análisis,2,Experimentación,10,Simulación,4,http://www.ing.uc.cl/hidraulica-y-ambiental/instalaciones/laboratorio-de-hidrologia,Gustavo Jeria ,"Jefe de Proyecto y Gestión
",gajeria@ing.puc.cl,+56 2 2354 4295,Avda. Vicuña Mackenna 4860,Santiago,1,Región Metropolitana,14,5,1
"Departamento de Ingeniería Mecánica, Universidad Técnica Federido Santa María",MEC-UTFSM,Universidad Técnica Federico Santa María,240,Unidad de Estaciones Meteorológicas,Estación,5,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,--,#N/A,1,2
"Departamento de Meteorología, Universidad de Valparaíso",METEOVAL,Universidad de Valparaíso,179,Unidad de Estaciones Meteorológicas,Estación,5,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,--,#N/A,1,2
DICTUC,DICTUC,Pontificia Universidad Católica de Chile,67,Laboratorio de Aguas y Riles,Laboratorio,2,--,#N/A,Análisis,2,Control de Calidad,12,--,#N/A,--,#N/A,http://www.dictuc.cl/aguasyriles,Victoria Leighton,Gerente de Laboratorio,  labocal@dictuc.cl,+56 2 2354 4171,Avda. Vicuña Mackenna 4860,Santiago,1,Región Metropolitana,14,10,1
Dirección de Obras Hidráulicas,DOH,Ministerio de Obras Públicas,304,Unidad de Estaciones Meteorológicas,Red,1,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,http://www.mop.cl/Direccionesyareas/DirecciondeObrasHidraulicas/Paginas/default.aspx,Reinaldo Fuentealba Sanhueza,Director,--,+56 2 2449 4351,"Morandé 59, 5to Piso, Oficina 526 ",Santiago,1,Región Metropolitana,14,1,2
Dirección de Programas Antárticos y Subantárticos,DPA,Universidad de Magallanes,153,Centro Austral Aplicado a Teledetección (CAAT),Laboratorio,2,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,http://www.umag.cl/investigacion/dpa/?page_id=929,--,--,--,--,--,--,#N/A,--,#N/A,4,2
Dirección General de Aguas,DGA,Ministerio de Obras Públicas,304,Red Hidrométrica Nacional,Red,1,Sistema de información,3,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,http://www.arcgis.com/apps/OnePane/basicviewer/index.html?appid=d508beb3a88f43d28c17a8ec9fac5ef0,--,--,--,--,--,--,#N/A,--,#N/A,10,2
Dirección Meteorológica de Chile ,DMC,Dirección General de Aeronáutica Civil,560,Red Meteorológica,Red,1,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,http://www.meteochile.cl,Horacio Peña Reyes,Jefe Sección Instalaciones Meteorológicas,--,--,--,--,#N/A,--,#N/A,2,2
Empresa Portuaria Austral,EPA,Empresa Portuaria Austral,EPA,Unidad de Estaciones Meteorológicas,Estación,5,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,--,#N/A,1,2
"Facultad de Ciencias de la Ingeniería, Universidad Austral de Chile",FCI,Universidad Austral de Chile,94,Estación Meteorológica UACH,Estación,5,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,http://ingenieria.uach.cl/index.php/servicios/servicios-externos/estacion-metereologica-uach,--,--,--,--,--,--,#N/A,--,#N/A,1,2
"Facultad de Ciencias Forestales y de la Conservación de la Naturaleza, Universidad de Chile",CFCN,Universidad de Chile,125,Laboratorio de Hidronomía,Estación,5,--,#N/A,Monitoreo,1,Análisis,2,Observación,16,--,#N/A,http://www.forestal.uchile.cl/investigacion/laboratorios/100962/laboratorio-de-hidronomia,Matilde López ,Docente Asociada,mlopezm.uchile@gmail.com,+56 2 2978 5861,Avda. Santa Rosa 11315,Santiago,1,Región Metropolitana,14,2,1
"Facultad de Ciencias, Universidad Católica del Norte",UCN,Universidad Católica del Norte,107,Estación Meteorológica,Estación,5,--,#N/A,Monitoreo,1,Observación,16,--,#N/A,--,#N/A,http://www.meteorologia.ucn.cl/,Sergio Curilef,"Director Programa Magíster en Ciencias, con Mención en Física",scurilef@ucn.cl,+56 55 235 5520,Avda. Angamos 610,Antofagasta,10,Antofagasta,2,1,2
"Facultad de Humanidades, Universidada de Playa Ancha",CSCPA,Universidad de Playa Ancha,165,Estación Meteorológica UPLA,Estación,5,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,--,#N/A,1,2
Facultad de Ingeniería y Ciencias Geológicas,UCN,Universidad Católica del Norte,107,Laboratorio de Geoquímica Aplicada,Laboratorio,2,--,#N/A,Análisis,2,--,#N/A,--,#N/A,--,#N/A,http://www.geologiaucn.cl/09---laboratorios/laboratorio-de-geoquimica-aplicada,Nelson Guerra,Académico Responsable,nguerra@ucn.cl,+56 55 235 5335,Avda. Angamos 610,Antofagasta,10,Antofagasta,2,2,2
"Facultad de Química, Pontificia Universidad Católica de Chile",QUIMUC,Pontificia Universidad Católica de Chile,67,Unidad Central de Instrumentación,Laboratorio,2,--,#N/A,Análisis,2,Experimentación,10,--,#N/A,--,#N/A,http://quimica.uc.cl/es/main/news/187,Claudio López,Encargado,crlopez@uc.cl,+56 2 2354 1670,Av. Vicuña Mackenna 4860,Santiago,1,Región Metropolitana,14,4,1
GeoDatos,GEOD,GeoDatos,GEOD,Equipamiento de GeoDatos,Laboratorio,2,--,#N/A,Modelación,3,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,--,#N/A,6,2
Grupo de Estudios del Agua,GEA,Universidad de Chile,125,Estaciones Meteorológicas,Red,1,--,#N/A,Monitoreo,1,Observación,16,--,#N/A,--,#N/A,http://www.gea.uchile.cl/,Marcela Benavente,Encargada,mbenavente@u.uchile.cl,+56 2 2978 5745,Santa Rosa 11315,Santiago,1,Región Metropolitana,14,1,2
Grupo Investigación Procesos Ecosistémicos,GIPE,Universidad de Chile,125,Laboratorio de Ecología de Ecosistemas,Laboratorio,2,Laboratorio de computación,2,Experimentación,10,Modelación mecanística,18,Modelación empírica,20,--,#N/A,http://www.gipe.uchile.cl/recursos.html,Jorge Pérez,Investigador, jorgepq@uchile.cl,+56 2 2978 5840,Santa Rosa 11315,Santiago,1,Región Metropolitana,14,4,1
Grupo Investigación Procesos Ecosistémicos,GIPE,Universidad de Chile,125,Laboratorio de Ecología de Suelos,Laboratorio,2,--,#N/A,Análisis,2,Experimentación,10,--,#N/A,--,#N/A,http://www.gipe.uchile.cl/recursos.html,Juan Pablo Fuentes,Investigador,jfuente@uchile.cl,+56 2 2978 5941,Santa Rosa 11315,Santiago,1,Región Metropolitana,14,10,1
Haldeman Mining Company ,HMC,Haldeman Mining Company ,HMC,Unidad de Estaciones de Monitoreo,Laboratorio,2,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,Tarapacá,1,2,2
Instituto de Agroindustria,IAI-UFRO,Universidad de La Frontera,146,Laboratorio de Ensayos Ambientales,Laboratorio,2,--,#N/A,Análisis,2,Experimentación,10,Control de Calidad,12,--,#N/A,http://agroindustria.ufro.cl/index.php/servicios-de-laboratorio,María Cristina Diez Jerez,Investigador,cristina.diez@ufrontera.cl,+56 45 232 5476,Avda. Francisco Salazar 1145,Temuco,13,La Araucanía,9,9,1
Instituto de Agroindustria,IAI-UFRO,Universidad de La Frontera,146,Laboratorio de Microbiología y de Alimentos y Aguas,Laboratorio,2,--,#N/A,Análisis,2,Control de Calidad,12,--,#N/A,--,#N/A,http://agroindustria.ufro.cl/,Luis Torralbo Barría,Director,luis.torralbo@ufrontera.cl,+56 45 232 5052,Avda. Francisco Salazar 1145,Temuco,13,La Araucanía,9,3,1
Instituto de Ciencias Marinas y Limnológicas,ICML,Universidad Austral de Chile,94,Laboratorio de Análisis de Aguas (Limnolab),Laboratorio,2,--,#N/A,Análisis,2,Experimentación,10,--,#N/A,--,#N/A,http://www.icml.uach.cl/infraestructura/laboratorio-de-analisis-de-aguas.php,Stefan Woelfl,Docente Asociado,swoelfl@uach.cl,+56 63 229 3183; +56 63 222 1316,"Independencia 641, Edificio Emilio Pugín, Campus Isla Teja",Valdivia,17,Los Ríos,10,1,2
Instituto de Ciencias Marinas y Limnológicas,ICML,Universidad Austral de Chile,94,Laboratorio Bioensayos y Limnología Aplicada,Laboratorio,2,--,#N/A,Análisis,2,Experimentación,10,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,--,#N/A,1,2
"Instituto de Conservación, Biodiversidad y Territorio",ICBTe,Universidad Austral de Chile,94,Laboratorio de Hidromorfología,Estación,5,--,#N/A,Monitoreo,1,Análisis,2,--,#N/A,--,#N/A,http://www.forestal.uach.cl/instituto/conservacion-biodiversidad-territorio/laboratorios.php,Andrés Iroumé,Encargado de Laboratorio,airoume@uach.cl,+56 63 229 3003,Campus Isla Teja 1416,Valdivia,17,Los Ríos,10,6,1
"Instituto de Conservación, Biodiversidad y Territorio",ICBTe,Universidad Austral de Chile,94,Laboratorio de Morfología de Ríos,Laboratorio,2,--,#N/A,Monitoreo,1,Análisis,2,--,#N/A,--,#N/A,http://www.forestal.uach.cl/instituto/conservacion-biodiversidad-territorio/laboratorios.php,Andrés Iroumé,Encargado de Laboratorio,airoume@uach.cl,+56 63 229 3003,Campus Isla Teja 1416,Valdivia,17,Los Ríos,10,7,1
Instituto de Ecología y Biodiversidad,IEB,Universidad de Chile,125,Unidad de Estaciones de Monitoreo,Red,1,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,--,Mary Kalin Arroyo,Investigador principal,southern@uchile.cl,+56 2 2978 7345,Las Palmeras 3425,Santiago,1,Región Metropolitana,14,2,2
"Instituto de Geografía, Pontificia Universidad Católica de Valparaíso",GEOUC,Universidad Católica de Valparaíso,105,Unidad de Estaciones Meteorológicas,Estación,5,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,--,#N/A,1,2
Instituto de Investigaciones Agropecuarias,INIA,Ministerio de Agricultura,483,Agromet (red agrometeorológica de INIA),Estación,5,--,#N/A,Monitoreo,1,Observación,16,--,#N/A,--,#N/A,http://agromet.inia.cl/index.php,Rodrigo Bravo ,Investigador INIA Remehue,rbravo@inia.cl,+56 64 233 4851,"Ruta 5, KM 8 Norte, INIA CRI Remehue",Osorno,11,Los Lagos,11,5,1
"Instituto de Química, Pontificia Universidad Católica de Valparaíso",IGEOUC,Universidad Católica de Valparaíso,105,Laboratorio de Servicios Analíticos,Laboratorio,2,--,#N/A,Análisis,2,--,#N/A,--,#N/A,--,#N/A,http://www.lsa.ucv.cl,Marcos Perez,Jefe de laboratorio,lsa.quimica@ucv.cl ,+56 32 227 4912,"Av. Universidad 330, Placilla",Valparaíso,6,Valparaíso,5,5,2
Laboratorio de Análisis Territorial,LAT,Universidad de Chile,125,Equipamiento LAT,Red,1,Laboratorio de computación,2,Monitoreo,1,Simulación,4,--,#N/A,--,#N/A,http://www.lat.uchile.cl/,Rodrigo Fúster,Académico,rfuster@uchile.cl,+56 2 2978 5863,Santa Rosa 11315,Santiago,1,Región Metropolitana,14,7,1
Laboratorio de Dendrocronología & Cambio Global,DENDRO,Universidad Austral de Chile,94,Equipamiento del Laboratorio de Dendrocronología & Cambio Global,Laboratorio,2,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,--,#N/A,1,2
Laboratorio de Prospección y Monitoreo de Recursos Agrícolas y Ambientales,PROMMRA,Universidad de La Serena,148,Red de estaciones fluviométricas SIMCA Elqui,Red,1,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,http://www.prommra.cl/,Pablo Álvarez Latorre,Director,pabloa@userena.cl,+56 51 255 4907,Av. La Paz 1108,Ovalle,8,Coquimbo,4,1,1
Laboratorio de Prospección y Monitoreo de Recursos Agrícolas y Ambientales,PROMMRA,Universidad de La Serena,148,Laboratorio de Hidrometría,Laboratorio,2,--,#N/A,Análisis,2,--,#N/A,--,#N/A,--,#N/A,http://www.prommra.cl/,Pablo Álvarez Latorre,Director,pabloa@userena.cl,+56 51 255 4907,Av. La Paz 1108,Ovalle,8,Coquimbo,4,4,1
Laboratorio de Prospección y Monitoreo de Recursos Agrícolas y Ambientales,PROMMRA,Universidad de La Serena,148,Laboratorio de Modelación WEAP,Laboratorio de computación,3,--,#N/A,Simulación,4,--,#N/A,--,#N/A,--,#N/A,http://www.prommra.cl/,Pablo Álvarez Latorre,Director,pabloa@userena.cl,+56 51 255 4907,Av. La Paz 1108,Ovalle,8,Coquimbo,4,4,1
Laboratorio de Prospección y Monitoreo de Recursos Agrícolas y Ambientales,PROMMRA,Universidad de La Serena,148,Plataforma Pronóstico Caudales y SIMCA Elqui,Sistema de información,8,--,#N/A,Visualización,11,--,#N/A,--,#N/A,--,#N/A,http://www.prommra.cl/,Pablo Álvarez Latorre,Director,pabloa@userena.cl,+56 51 255 4907,Av. La Paz 1108,Ovalle,8,Coquimbo,4,2,1
Laboratorio para el Análisis de la Biósfera,LAB,Universidad de Chile,125,Equipamiento LAB,Estación,5,Laboratorio de computación,2,Monitoreo,1,Observación,16,Cálculo,7,Simulación,4,http://www.biosfera.uchile.cl/,Cristian Mattar,Director,cmattar@uchile.cl,+56 2 2978 5863 ,Avda. Santa Rosa 11315,Santiago,1,Región Metropolitana,14,3,1
Minera Los Pelambres,MLP,Antofagasta Minerals,554,Unidad de Estaciones de Monitoreo,Estación,5,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,Tarapacá,1,1,2
Núcleo de Investigación en Riesgos Naturales y Antropogénicos,RiNA,Universidad Austral de Chile,94,Laboratorio de Geofísica Aplicada,Laboratorio,2,--,#N/A,Análisis,2,Experimentación,10,Modelación física,9,--,#N/A,http://www.rina.cl/,Galo Valdevenito,Representante Consejo Directivo,gvaldebe@uach.cl,+56 9 9322 5776,"Independencia 641, Edificio Emilio Pugín, Campus Isla Teja",Valdivia,17,Los Ríos,10,5,1
Programa Sur-Austral,COPAS,Universidad de Concepción,127,Infraestructura COPAS,Estación,5,Laboratorio,1,Monitoreo,1,Análisis,2,Experimentación,10,Modelación física,9,http://www.sur-austral.cl/,Silvio Pantoja Gutiérrez,Investigador,spantoja@udec.cl,+56 41 220 7251,"Departamento de Oceanografía, Piso 2, Barrio Universitario s/n, Universidad de Concepción",Concepción,7,Bío Bío,8,10,1
Red Meteorológica de Vinos de Chile A.G.,METEOVID,Consorcio I+D Vinos de Chile S.A.,559,Red Meteovid,Red,1,--,#N/A,Monitoreo,1,Observación,16,--,#N/A,--,#N/A,http://www.meteovid.cl/,Paulina Flores,Jefe de proyectos,consorcio@vinosdechile.cl,+56 2 22180 0600,Av. Luis Pasteur 5280,Santiago,1,Región Metropolitana,14,1,2
Registro de Emisiones y Transferencias de Contaminantes,RETC,Ministerio del Medio Ambiente,571,Registro de Emisiones y Transferencias de Contaminantes,Sistema de información,8,Laboratorio de computación,2,Cálculo,7,--,#N/A,--,#N/A,--,#N/A,http://www.retc.cl/datos-retc/,--,--,--,--,San Martín 73,Santiago,1,Región Metropolitana,14,2,2
Servicio Hidrográfico y oceanográfico de la Armada,SHOA,Armada de Chile,555,Departamento de Oceanografía,Sistema de Información,8,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,http://www.shoa.cl,Capitán Carlos Zúñiga,Director,--,+56 32 226 6701,"Errázuriz Echaurren 254, Playa Ancha",Valparaíso,6,Valparaíso,5,3,2
Servicio Meteorológico de la Armada de Chile,SERVIMET,Armada de Chile,555,Unidad de Estaciones Meteorológicas,Estación,5,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,--,#N/A,1,2
Servicio Nacional de Geología y Minería ,Sernageomin,Ministerio de Minería,563,Observatorio Volcanológico de Los Andes del Sur (OVDAS),Red,1,Sistema de información,3,Monitoreo,1,Vigilancia,17,Observación,16,--,#N/A,http://www.sernageomin.cl/volcan-observatorio.php,--,--,--,+56 45 227 0700,Rudecindo Ortega 3850,Temuco,13,La Araucanía,9,10,2
Servicio Nacional de Geología y Minería ,Sernageomin,Ministerio de Minería,563,Oficina Técnica de Cohyaque (OTC),Red,1,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,--,#N/A,3,2
Servicio Nacional de Geología y Minería ,Sernageomin,Ministerio de Minería,563,"Departamento de Geología Aplicada, Laboratorio de análisis químico",Laboratorio,2,Equipos portátiles,4,Análisis,2,--,#N/A,--,#N/A,--,#N/A,http://www.sernageomin.cl,Carolina Espinoza,Jefe Unidad Hidrogeología,carolina.espinoza@sernageomin.cl,+56 2 2482 5568,Avda. Santa María 0104,Santiago,1,Región Metropolitana,14,5,2
Sistema Nacional de Información Ambiental,SINIA,Ministerio del Medio Ambiente,571,Sistema Integrador de Información Ambiental (SIIA),Sistema de información,8,Laboratorio de computación,2,Cálculo,7,--,#N/A,--,#N/A,--,#N/A,http://siia.mma.gob.cl/mma-centralizador-publico/inicio.jsf,--,--,--,--,--,--,#N/A,--,#N/A,2,2
Sistema Nacional de Información Ambiental,SINIA,Ministerio del Medio Ambiente,571,Infraestructura de Datos Espaciales (IDE),Sistema de información,8,Laboratorio de computación,2,Cálculo,7,--,#N/A,--,#N/A,--,#N/A,http://www.ide.cl/,Álvaro Monett Hernández,Secretario Ejecutivo,amoneth@mbienes.cl,+56 2 2937 5804,San Martín 73,Santiago,1,Región Metropolitana,14,2,2
Sociedad Química Minera,SQM,Sociedad Química Minera,SQM,Unidad de Estaciones de Monitoreo,Red,1,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,--,#N/A,2,2
Terra Remote Sensing,TRS,Terra Remote Sensing Ltda.,568,Equipamiento de Terra Remote Sensing,Laboratorio,2,--,#N/A,Modelación,3,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,--,#N/A,1,2
